region,city,country
Schleswig-Holstein,Itzehoe,Germany
Navarra,Pamplona,Spain
Alabama,Montgomery,United States
Northern Territory,Palmerston,Australia
Kent,Maidstone,United Kingdom
Leinster,Dublin,Ireland
Ontario,Ottawa,Canada
Alsace,Illkirch-Graffenstaden,France
Principado de Asturias,Oviedo,Spain
Newfoundland and Labrador,Rigolet,Canada
Madrid,Teruel,Spain
New Brunswick,Saint John,Canada
Picardie,Amiens,France
Emilia-Romagna,San Lazzaro di Savena,Italy
Wyoming,Rock Springs,United States
Noord Brabant,Grave,Netherlands
Calabria,Sant'Onofrio,Italy
Rheinland-Pfalz,Idar-Oberstei,Germany
Saskatchewan,Weyburn,Canada
Ceuta,Ceuta,Spain
Western Australia,Belmont,Australia
Leinster,Dublin,Ireland
Arizona,Phoenix,United States
Victoria,Swan Hill,Australia
South Island,Timaru,New Zealand
Madrid,Dos Hermanas,Spain
Nunavut,Arviat,Canada
Marche,Camporotondo di Fiastrone,Italy
Ulster,Belfast,Ireland
New South Wales,Wagga Wagga,Australia
Noord Holland,Hilversum,Netherlands
Queensland,Bundaberg,Australia
Radnorshire,Rhayader,United Kingdom
Leinster,Dublin,Ireland
Leinster,Dublin,Ireland
Calabria,Cittanova,Italy
Australian Capital Territory,Canberra,Australia
Niedersachsen,Neustadt am Rübenberge,Germany
Friesland,Hindeloopen,Netherlands
Castilla y León,Madrid,Spain
Calabria,Tropea,Italy
Newfoundland and Labrador,Marystown,Canada
South Australia,Victor Harbor,Australia
Leinster,Dublin,Ireland
Lorraine,Sarreguemines,France
Emilia-Romagna,Sissa,Italy
Lincolnshire,Skegness,United Kingdom
Suffolk,Sudbury,United Kingdom
Melilla,Melilla,Spain
Sutherland,Golspie,United Kingdom
Victoria,Sale,Australia
Valle d'Aosta,Issime,Italy
Nord-Pas-de-Calais,Valenciennes,France
Carmarthenshire,Ammanford,United Kingdom
Picardie,Laon,France
Berlin,Berlin,Germany
South Island,Alexandra,New Zealand
South Island,Motueka,New Zealand
Noord Brabant,Heusden,Netherlands
Vermont,Colchester,United States
Connacht,Galway,Ireland
Utrecht,Veenendaal,Netherlands
Madrid,Madrid,Spain
Bayern,Bayreuth,Germany
Prince Edward Island,Montague,Canada
Munster,Cork,Ireland
North Island,Morrinsville,New Zealand
Basilicata,Montemilone,Italy
Nunavut,Gjoa Haven,Canada
Centre,Paris,France
Madrid,Zaragoza,Spain
Hamburg,Hamburg,Germany
North Island,Porirua,New Zealand
Pennsylvania,Philadelphia,United States
Friuli-Venezia Giulia,Lestizza,Italy
Oklahoma,Lawton,United States
Western Australia,Swan,Australia
Western Australia,Bayswater,Australia
Liguria,Dolcedo,Italy
Bourgogne,Chalon-sur-Saône,France
Navarra,Pamplona,Spain
Noord Brabant,Tilburg,Netherlands
Noord Holland,Enkhuizen,Netherlands
Cantabria,Santander,Spain
Liguria,Cairo Montenotte,Italy
Prince Edward Island,Montague,Canada
Liguria,Cicagna,Italy
Bourgogne,Chalon-sur-Saône,France
Utrecht,Veenendaal,Netherlands
Victoria,Wangaratta,Australia
Sachsen,Zittau,Germany
Auvergne,Moulins,France
Zuid Holland,Alphen aan den Rijn,Netherlands
Saskatchewan,Weyburn,Canada
Manitoba,Beausejour,Canada
Montana,Billings,United States
Canarias,Madrid,Spain
Leinster,Dublin,Ireland
Leinster,Dublin,Ireland
Queensland,Hervey Bay,Australia
